# Grid cutoff vs total energy
# REL_CUTOFF = 40
# Cutoff (Ry) | Total Energy (Ha) | NG on grid 1 | NG on grid 2 | NG on grid 3 | NG on grid 4
    150.00  -158.7268552410  579927  115772   73077   17261
    200.00  -158.7303067388  532292  140983   76887   35875
    250.00  -158.7299138948  507673  143819   88806   45739
    300.00  -158.7301883345  464321  166975   98795   55946
    350.00  -158.7291445839  446184  167408  108467   63978
    400.00  -158.7289938973  419922  176070  113065   76980
    450.00  -158.7287833145  404322  175605  115772   90338
    500.00  -158.7288760444  377350  182963  123366  102358
    550.00  -158.7286769177  362839  186479  127883  108836
    600.00  -158.7286914646  355451  176841  140983  112762
    650.00  -158.7287572297  347625  170486  144920  123006
    700.00  -158.7287572273  332138  179433  143532  130934
    800.00  -158.7287336794  576610  412859  295889  268775
    900.00  -158.7287291347  548614  371083  329455  304981
